property_url,full_street_line,unit,estimated_value,assessed_value,sold_price,last_sold_date,months_since_sale,sqft,beds,baths,neighborhoods,list_date,tax,lot_sqft,new_construction,stories,monthly_appreciation,monthly_appreciation_rate
https://www.realtor.com/realestateandhomes-detail/1630-Wallace-Rd-NW-Unit-38_Salem_OR_97304_M99696-19876,1630 Wallace Rd NW Unit 38,Unit 38,177000.0,83608.9,100000.0,2024-10-11,9.2,1480.0,2.0,2.0,Unknown,2024-06-07 00:00:00.000000000,1495.4,6122.9,False,1.4,8341.0,
https://www.realtor.com/realestateandhomes-detail/4353-Campbell-Dr-SE_Salem_OR_97317_M10853-62768,4353 Campbell Dr SE,,365115.0,167510.0,180000.0,2024-07-03,12.5,1436.0,3.0,1.5,Southeast Mill Creek,2024-12-06 23:03:51.744471744,3288.0,7000.0,False,1.0,14790.0,
https://www.realtor.com/realestateandhomes-detail/574-Illinois-Ave-NE_Salem_OR_97301_M11470-15158,574 Illinois Ave NE,,410200.0,128100.0,265000.0,2024-12-27,6.7,1194.0,2.0,1.6,Northeast Salem,2024-08-30 00:00:00.000000000,2515.0,7405.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/4980-Riverton-St-NE_Salem_OR_97305_M21125-72580,4980 Riverton St NE,,328300.0,29260.0,70000.0,2021-10-06,45.4,994.0,1.8,1.3,Unknown,2022-03-11 23:03:51.744471744,1300.0,8993.0,False,1.4,5689.0,
https://www.realtor.com/realestateandhomes-detail/4159-Ward-Dr-NE_Salem_OR_97305_M28093-71172,4159 Ward Dr NE,,408100.0,201590.0,120223.0,2023-01-27,29.7,1665.0,3.0,1.5,Unknown,2023-07-02 23:03:51.744471744,3295.0,10614.0,False,1.0,9694.0,
https://www.realtor.com/realestateandhomes-detail/4915-Swegle-Rd-NE-Unit-61_Salem_OR_97301_M24916-61828,4915 Swegle Rd NE Unit 61,Unit 61,84300.0,25340.0,45000.0,2024-08-20,10.9,1330.0,2.0,1.8,East Lancaster,2025-05-02 00:00:00.000000000,396.0,5502.3,False,1.0,3592.0,
https://www.realtor.com/realestateandhomes-detail/4966-Rebecca-St-NE_Salem_OR_97305_M14450-05007,4966 Rebecca St NE,,449100.0,210210.0,207500.0,2024-04-30,14.6,1721.0,3.0,2.3,Northgate,2024-10-03 23:03:51.744471744,4127.0,6395.0,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/4630-39th-Ave-NE_Salem_OR_97305_M26762-19959,4630 39th Ave NE,,408993.0,187970.0,91000.0,2021-11-19,44.0,1584.0,3.0,2.1,Unknown,2022-04-24 23:03:51.744471744,3088.0,9520.0,False,1.0,7234.0,
https://www.realtor.com/realestateandhomes-detail/444-63rd-Ave-NE_Salem_OR_97317_M27642-16222,444 63rd Ave NE,,768027.0,378300.0,275000.0,2023-09-01,22.6,2342.0,5.0,3.2,Unknown,2024-02-04 23:03:51.744471744,5481.0,9689.1,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/5203-Jones-Rd-SE_Salem_OR_97306_M22885-68254,5203 Jones Rd SE,,438000.0,218340.0,132000.0,2023-02-03,29.5,1656.0,3.0,2.2,Faye Wright,2023-07-09 23:03:51.744471744,4286.0,8712.0,False,1.0,10384.0,
https://www.realtor.com/realestateandhomes-detail/3454-Turner-Rd-SE_Salem_OR_97302_M24491-44050,3454 Turner Rd SE,,123000.0,10080.0,68800.0,2024-09-17,10.0,816.0,1.0,1.1,Southeast Mill Creek,2025-05-02 00:00:00.000000000,180.0,3375.9,False,1.0,5409.0,
https://www.realtor.com/realestateandhomes-detail/3018-Brush-College-Rd-NW_Salem_OR_97304_M20292-92489,3018 Brush College Rd NW,,,,350000.0,2021-09-14,46.1,3295.1,6.0,5.0,Unknown,2022-02-17 23:03:51.744471744,,13632.0,False,2.0,,
https://www.realtor.com/realestateandhomes-detail/2539-Wallace-Rd-NW_Salem_OR_97304_M18516-95115,2539 Wallace Rd NW,,,68480.0,275000.0,2022-01-24,41.8,1676.9,3.1,2.3,West Salem,2022-06-29 23:03:51.744471744,1290.0,6937.7,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/1912-Hazel-Ave-NE_Salem_OR_97301_M21336-79624,1912 Hazel Ave NE,,434300.0,136120.0,101000.0,2021-12-30,42.6,2235.0,5.0,3.0,Highland,2022-06-04 23:03:51.744471744,2672.0,5640.0,False,1.0,7822.0,
https://www.realtor.com/realestateandhomes-detail/2111-Mistymorning-Ave-SE_Salem_OR_97306_M15275-52218,2111 Mistymorning Ave SE,,580000.0,351310.0,127445.0,2021-08-31,46.6,2334.0,3.0,2.5,South Gateway,2022-02-03 23:03:51.744471744,6897.0,7000.0,False,2.0,9715.0,
