property_url,full_street_line,neighborhoods,last_sold_date,sold_price,estimated_value,monthly_appreciation,monthly_appreciation_rate,yearly_appreciation,yearly_appreciation_rate
https://www.realtor.com/realestateandhomes-detail/2182-Darrin-Ct-NW_Salem_OR_97304_M99768-01778,2182 Darrin Ct NW,West Salem,2024-04-22,283730,536900.0,18525,6.529094561731223,222303,78.35019208402355
https://www.realtor.com/realestateandhomes-detail/1425-18th-St-NE_Salem_OR_97301_M19569-64525,1425 18th St NE,Northeast Neighbors,2023-01-18,135672,390425.0,8852,6.524559231086739,106229,78.2983961318474
https://www.realtor.com/realestateandhomes-detail/2248-Hoyt-St-SE_Salem_OR_97302_M15566-53770,2248 Hoyt St SE,Southeast Salem,2022-08-31,100000,315252.0,6449,6.449000000000001,77389,77.389
https://www.realtor.com/realestateandhomes-detail/5117-Jones-Rd-SE_Salem_OR_97306_M22851-02521,5117 Jones Rd SE,Faye Wright,2023-05-30,180000,461130.0,11502,6.39,138026,76.68111111111111
https://www.realtor.com/realestateandhomes-detail/1570-Fircrest-Ct-SE_Salem_OR_97306_M29705-72267,1570 Fircrest Ct SE,South Gateway,2023-07-31,230000,558810.0,14676,6.380869565217391,176111,76.57000000000001
https://www.realtor.com/realestateandhomes-detail/3690-Crabgrass-St-NE_Salem_OR_97301_M26617-12135,3690 Crabgrass St NE,Northeast Salem,2024-01-18,172962,355800.0,10892,6.297336987315133,130699,75.56515303939594
https://www.realtor.com/realestateandhomes-detail/2035-Church-St-NE_Salem_OR_97301_M23090-64522,2035 Church St NE,Highland,2021-12-28,83871,299707.0,5206,6.207151458787901,62473,74.48700981268853
https://www.realtor.com/realestateandhomes-detail/1870-19th-St-NE_Salem_OR_97301_M15131-64415,1870 19th St NE,Northeast Neighbors,2024-04-24,222500,408621.0,13685,6.150561797752809,164218,73.80584269662921
https://www.realtor.com/realestateandhomes-detail/597-Gerth-Ave-NW_Salem_OR_97304_M29988-07317,597 Gerth Ave NW,West Salem,2022-04-12,89500,296000.0,5433,6.070391061452514,65195,72.8435754189944
https://www.realtor.com/realestateandhomes-detail/1191-8th-St-NW_Salem_OR_97304_M18804-76498,1191 8th St NW,West Salem,2021-12-01,106000,373000.0,6305,5.94811320754717,75663,71.38018867924528
https://www.realtor.com/realestateandhomes-detail/471-Rosemont-Ave-NW_Salem_OR_97304_M15000-88502,471 Rosemont Ave NW,West Salem,2021-11-23,96000,336800.0,5651,5.886458333333334,67818,70.64375000000001
https://www.realtor.com/realestateandhomes-detail/1830-Lorain-Ct-SE_Salem_OR_97302_M10464-08485,1830 Lorain Ct SE,South Central,2023-04-14,155000,391400.0,9109,5.876774193548387,109307,70.52064516129032
https://www.realtor.com/realestateandhomes-detail/3472-Lake-Vanessa-Cir-NW_Salem_OR_97304_M17220-84167,3472 Lake Vanessa Cir NW,West Salem,2021-08-18,106000,391000.0,6223,5.870754716981132,74681,70.45377358490566
https://www.realtor.com/realestateandhomes-detail/5422-Portland-Rd-NE-Unit-27_Salem_OR_97305_M26298-09340,5422 Portland Rd NE Unit 27,Northgate,2022-10-07,32000,92100.0,1869,5.840625,22424,70.075
https://www.realtor.com/realestateandhomes-detail/1674-Liberty-St-NE_Salem_OR_97301_M19280-83419,1674 Liberty St NE,Grant,2023-11-08,132000,276100.0,7537,5.709848484848485,90441,68.51590909090909
https://www.realtor.com/realestateandhomes-detail/2950-Hollywood-Dr-NE_Salem_OR_97305_M13242-26087,2950 Hollywood Dr NE,North Lancaster,2022-03-28,105000,331700.0,5888,5.607619047619047,70656,67.29142857142857
https://www.realtor.com/realestateandhomes-detail/470-21st-St-SE_Salem_OR_97301_M24213-84073,470 21st St SE,Southeast Salem,2023-04-14,152800,370000.0,8369,5.477094240837696,100429,65.72578534031413
https://www.realtor.com/realestateandhomes-detail/350-Silver-Hills-Cir-SE_Salem_OR_97306_M24931-46905,350 Silver Hills Cir SE,South Gateway,2023-10-27,343000,699000.0,18244,5.318950437317784,218922,63.82565597667639
https://www.realtor.com/realestateandhomes-detail/2015-John-St-S_Salem_OR_97302_M10362-20362,2015 John St S,South Central,2022-12-13,135359,349481.0,7147,5.280033097171226,85761,63.35818083762439
https://www.realtor.com/realestateandhomes-detail/251-17th-St-SE_Salem_OR_97301_M24261-91380,251 17th St SE,Southeast Salem,2022-01-13,98500,310636.0,5183,5.261928934010152,62190,63.13705583756345
https://www.realtor.com/realestateandhomes-detail/2410-Lancaster-Dr-SE-Unit-339_Salem_OR_97317_M27846-12065,2410 SE Lancaster Dr Unit 339,Southeast Mill Creek,2024-12-12,49900,65400.0,2592,5.19438877755511,31109,62.34268537074148
https://www.realtor.com/realestateandhomes-detail/235-24th-St-SE_Salem_OR_97301_M22606-18797,235 24th St SE,Southeast Salem,2022-04-11,85000,251200.0,4369,5.140000000000001,52426,61.677647058823524
https://www.realtor.com/realestateandhomes-detail/4285-Pauline-Ave-SE_Salem_OR_97302_M12543-75189,4285 Pauline Ave SE,Faye Wright,2021-06-28,100000,341000.0,5077,5.077,60922,60.922
https://www.realtor.com/realestateandhomes-detail/5633-Ross-Ct-SE_Salem_OR_97306_M11208-54466,5633 Ross Ct SE,South Gateway,2023-08-28,218000,454500.0,11008,5.04954128440367,132093,60.59311926605505
https://www.realtor.com/realestateandhomes-detail/1070-Locust-St-NE_Salem_OR_97301_M12612-46644,1070 Locust St NE,Highland,2022-02-25,90000,268000.0,4504,5.004444444444445,54048,60.053333333333335
https://www.realtor.com/realestateandhomes-detail/3770-State-St_Salem_OR_97301_M22692-80085,3770 State St,Southeast Salem,2023-12-08,319000,604000.0,15716,4.926645768025079,188596,59.12100313479623
https://www.realtor.com/realestateandhomes-detail/2249-Waln-Creek-Dr-S_Salem_OR_97306_M25442-38512,2249 Waln Creek Dr S,Sunnyslope,2023-03-13,195000,452833.0,9548,4.896410256410257,114576,58.75692307692307
https://www.realtor.com/realestateandhomes-detail/2011-Soapstone-Ave-SE_Salem_OR_97306_M15304-21696,2011 Soapstone Ave SE,South Gateway,2023-07-11,308387,651682.0,14886,4.827051723970206,178631,57.92429641975829
https://www.realtor.com/realestateandhomes-detail/1815-Skyline-Ct-S_Salem_OR_97306_M25258-29136,1815 Skyline Ct S,Sunnyslope,2024-04-01,340768,573000.0,16177,4.747218048643065,194118,56.96485585500986
https://www.realtor.com/realestateandhomes-detail/2008-Lancaster-Dr-SE_Salem_OR_97317_M93307-88660,2008 Lancaster Dr SE,Southeast Mill Creek,2024-05-03,290000,472700.0,13732,4.735172413793103,164782,56.82137931034483
https://www.realtor.com/realestateandhomes-detail/1955-37th-Ave-NW_Salem_OR_97304_M19202-67782,1955 37th Ave NW,West Salem,2022-01-21,195000,569000.0,9196,4.7158974358974355,110351,56.590256410256416
https://www.realtor.com/realestateandhomes-detail/4431-Raccoon-Ct-NE_Salem_OR_97305_M14633-02584,4431 Raccoon Ct NE,Northgate,2022-01-10,160000,463927.0,7407,4.6293750000000005,88886,55.55375
https://www.realtor.com/realestateandhomes-detail/1710-Mill-St-SE_Salem_OR_97301_M21806-98940,1710 Mill St SE,Southeast Salem,2022-03-22,175000,483000.0,7959,4.548,95506,54.57485714285715
https://www.realtor.com/realestateandhomes-detail/1884-Brookside-Ave-NW_Salem_OR_97304_M17866-95271,1884 Brookside Ave NW,West Salem,2021-09-29,175000,525526.0,7892,4.509714285714286,94704,54.116571428571426
https://www.realtor.com/realestateandhomes-detail/5044-Summerfield-Dr-SE_Salem_OR_97306_M27351-51936,5044 Summerfield Dr SE,Faye Wright,2022-04-18,169050,454435.0,7547,4.4643596569062405,90569,53.575273587695946
https://www.realtor.com/realestateandhomes-detail/2120-Turnage-St-NW_Salem_OR_97304_M99711-27574,2120 Turnage St NW,West Salem,2022-09-23,205000,503361.0,9146,4.461463414634146,109754,53.53853658536586
https://www.realtor.com/realestateandhomes-detail/1720-Berry-St-SE_Salem_OR_97302_M11297-61026,1720 Berry St SE,South Central,2023-06-28,130000,265000.0,5747,4.420769230769231,68969,53.05307692307692
https://www.realtor.com/realestateandhomes-detail/291-Magnolia-Ct-NW_Salem_OR_97304_M12470-35785,291 Magnolia Ct NW,West Salem,2022-03-15,119000,323460.0,5252,4.41344537815126,63025,52.96218487394958
